#rbin[i] Nr[i] lbin[i] Nl[i]
 0.001003 0.000066 0.000001 0.000618 
 0.001015 0.000055 0.000012 0.001887 
 0.001027 0.000044 0.000024 0.002031 
 0.001040 0.000066 0.000036 0.002329 
 0.001052 0.000055 0.000048 0.002704 
 0.001064 0.000077 0.000059 0.002373 
 0.001077 0.000121 0.000071 0.002406 
 0.001089 0.000287 0.000083 0.002605 
 0.001101 0.000210 0.000095 0.002561 
 0.001113 0.000199 0.000107 0.002450 
 0.001126 0.000077 0.000118 0.002682 
 0.001138 0.000254 0.000130 0.002627 
 0.001150 0.000784 0.000142 0.002395 
 0.001163 0.000806 0.000154 0.002384 
 0.001175 0.001600 0.000165 0.002715 
 0.001187 0.003675 0.000177 0.002450 
 0.001200 0.004956 0.000189 0.002141 
 0.001212 0.006015 0.000201 0.002538 
 0.001224 0.004978 0.000212 0.002196 
 0.001237 0.003797 0.000224 0.002428 
 0.001249 0.000938 0.000236 0.002439 
 0.001261 0.001556 0.000248 0.002406 
 0.001274 0.000298 0.000260 0.002229 
 0.001286 0.000132 0.000271 0.002450 
 0.001298 0.001148 0.000283 0.002494 
 0.001310 0.000464 0.000295 0.002516 
 0.001323 0.000011 0.000307 0.002252 
 0.001335 0.000000 0.000318 0.002461 
 0.001347 0.000077 0.000330 0.002483 
 0.001360 0.000872 0.000342 0.002229 
 0.001372 0.001622 0.000354 0.002240 
 0.001384 0.000552 0.000366 0.002594 
 0.001397 0.000287 0.000377 0.002494 
 0.001409 0.000331 0.000389 0.002285 
 0.001421 0.001137 0.000401 0.002351 
 0.001434 0.001954 0.000413 0.002472 
 0.001446 0.001479 0.000424 0.002594 
 0.001458 0.000872 0.000436 0.002538 
 0.001470 0.000486 0.000448 0.002792 
 0.001483 0.000353 0.000460 0.002351 
 0.001495 0.000464 0.000471 0.002538 
 0.001507 0.000751 0.000483 0.002163 
 0.001520 0.000806 0.000495 0.002285 
 0.001532 0.000651 0.000507 0.002638 
 0.001544 0.000221 0.000519 0.002439 
 0.001557 0.000397 0.000530 0.002594 
 0.001569 0.001347 0.000542 0.002417 
 0.001581 0.001589 0.000554 0.002439 
 0.001594 0.000784 0.000566 0.002450 
 0.001606 0.002836 0.000577 0.002572 
 0.001618 0.003675 0.000589 0.002472 
 0.001631 0.004911 0.000601 0.002207 
 0.001643 0.006236 0.000613 0.002726 
