#rbin[i] Nr[i] lbin[i] Nl[i]
 0.008088 0.000010 0.000039 0.000070 
 0.008132 0.000010 0.000097 0.000050 
 0.008175 0.000000 0.000156 0.000160 
 0.008219 0.000000 0.000215 0.000260 
 0.008263 0.000000 0.000273 0.000230 
 0.008306 0.000010 0.000332 0.000300 
 0.008350 0.000000 0.000391 0.000240 
 0.008394 0.000000 0.000449 0.000350 
 0.008438 0.000000 0.000508 0.000420 
 0.008481 0.000000 0.000566 0.000450 
 0.008525 0.000000 0.000625 0.000370 
 0.008569 0.000000 0.000684 0.000470 
 0.008612 0.000000 0.000742 0.000530 
 0.008656 0.000000 0.000801 0.000460 
 0.008700 0.000010 0.000859 0.000650 
 0.008743 0.000010 0.000918 0.000650 
 0.008787 0.000000 0.000977 0.000570 
 0.008831 0.000000 0.001035 0.000730 
 0.008875 0.000010 0.001094 0.000620 
 0.008918 0.000000 0.001153 0.000770 
 0.008962 0.000000 0.001211 0.000640 
 0.009006 0.000010 0.001270 0.000560 
 0.009049 0.000000 0.001328 0.000770 
 0.009093 0.000000 0.001387 0.000770 
 0.009137 0.000000 0.001446 0.000970 
 0.009181 0.000000 0.001504 0.000810 
 0.009224 0.000000 0.001563 0.000970 
 0.009268 0.000000 0.001622 0.000790 
 0.009312 0.000000 0.001680 0.000960 
 0.009355 0.000000 0.001739 0.000940 
 0.009399 0.000010 0.001797 0.000930 
 0.009443 0.000020 0.001856 0.001080 
 0.009486 0.000010 0.001915 0.000940 
 0.009530 0.000000 0.001973 0.001090 
 0.009574 0.000000 0.002032 0.000920 
 0.009618 0.000000 0.002090 0.000900 
 0.009661 0.000000 0.002149 0.000990 
 0.009705 0.000010 0.002208 0.000970 
 0.009749 0.000020 0.002266 0.001050 
 0.009792 0.000040 0.002325 0.000900 
 0.009836 0.000030 0.002384 0.001150 
 0.009880 0.000020 0.002442 0.000920 
 0.009924 0.000000 0.002501 0.000860 
 0.009967 0.000010 0.002559 0.001100 
 0.010011 0.000020 0.002618 0.001180 
 0.010055 0.000000 0.002677 0.001200 
 0.010098 0.000010 0.002735 0.001060 
 0.010142 0.000020 0.002794 0.000900 
 0.010186 0.000000 0.002853 0.001020 
 0.010229 0.000010 0.002911 0.001080 
 0.010273 0.000000 0.002970 0.000970 
 0.010317 0.000000 0.003028 0.001110 
 0.010361 0.000010 0.003087 0.001200 
 0.010404 0.000040 0.003146 0.001140 
 0.010448 0.000000 0.003204 0.001200 
 0.010492 0.000010 0.003263 0.001380 
 0.010535 0.000010 0.003322 0.000950 
 0.010579 0.000020 0.003380 0.001090 
 0.010623 0.000030 0.003439 0.000990 
 0.010667 0.000000 0.003497 0.001390 
 0.010710 0.000010 0.003556 0.001390 
 0.010754 0.000000 0.003615 0.000990 
 0.010798 0.000020 0.003673 0.001220 
 0.010841 0.000040 0.003732 0.001400 
 0.010885 0.000060 0.003790 0.001070 
 0.010929 0.000000 0.003849 0.001200 
 0.010972 0.000010 0.003908 0.001170 
 0.011016 0.000000 0.003966 0.001040 
 0.011060 0.000000 0.004025 0.001170 
 0.011104 0.000020 0.004084 0.001260 
 0.011147 0.000030 0.004142 0.001470 
 0.011191 0.000030 0.004201 0.001230 
 0.011235 0.000000 0.004259 0.001350 
 0.011278 0.000030 0.004318 0.001350 
 0.011322 0.000030 0.004377 0.001210 
 0.011366 0.000030 0.004435 0.001170 
 0.011410 0.000040 0.004494 0.001300 
 0.011453 0.000070 0.004553 0.001390 
 0.011497 0.000020 0.004611 0.001190 
 0.011541 0.000020 0.004670 0.001290 
 0.011584 0.000040 0.004728 0.001120 
 0.011628 0.000030 0.004787 0.001290 
 0.011672 0.000030 0.004846 0.001160 
 0.011715 0.000060 0.004904 0.001280 
 0.011759 0.000050 0.004963 0.001170 
 0.011803 0.000040 0.005021 0.001020 
 0.011847 0.000040 0.005080 0.001210 
 0.011890 0.000060 0.005139 0.001420 
 0.011934 0.000120 0.005197 0.001280 
 0.011978 0.000090 0.005256 0.001530 
 0.012021 0.000120 0.005315 0.001270 
 0.012065 0.000090 0.005373 0.001330 
 0.012109 0.000130 0.005432 0.001210 
 0.012153 0.000190 0.005490 0.001550 
 0.012196 0.000160 0.005549 0.001170 
 0.012240 0.000180 0.005608 0.001180 
 0.012284 0.000260 0.005666 0.001250 
 0.012327 0.000250 0.005725 0.001080 
 0.012371 0.000300 0.005784 0.001320 
 0.012415 0.000350 0.005842 0.001310 
 0.012458 0.000490 0.005901 0.001280 
 0.012502 0.000420 0.005959 0.001400 
 0.012546 0.000560 0.006018 0.001270 
 0.012590 0.000730 0.006077 0.001350 
 0.012633 0.000950 0.006135 0.001380 
 0.012677 0.001280 0.006194 0.001160 
 0.012721 0.001160 0.006253 0.001440 
 0.012764 0.001770 0.006311 0.001340 
 0.012808 0.001730 0.006370 0.001330 
 0.012852 0.002210 0.006428 0.001570 
 0.012896 0.002430 0.006487 0.001270 
 0.012939 0.003091 0.006546 0.001400 
 0.012983 0.003361 0.006604 0.001540 
 0.013027 0.003921 0.006663 0.001300 
 0.013070 0.004151 0.006721 0.001620 
 0.013114 0.004401 0.006780 0.001510 
 0.013158 0.004891 0.006839 0.001400 
 0.013201 0.005131 0.006897 0.001520 
 0.013245 0.004881 0.006956 0.001610 
 0.013289 0.005491 0.007015 0.001550 
 0.013333 0.005171 0.007073 0.001570 
 0.013376 0.004971 0.007132 0.001670 
 0.013420 0.005541 0.007190 0.001580 
 0.013464 0.004831 0.007249 0.001880 
 0.013507 0.004901 0.007308 0.001560 
 0.013551 0.004981 0.007366 0.001540 
 0.013595 0.004481 0.007425 0.001740 
 0.013639 0.004821 0.007484 0.001710 
 0.013682 0.004401 0.007542 0.001950 
 0.013726 0.004761 0.007601 0.001620 
 0.013770 0.004521 0.007659 0.001630 
 0.013813 0.003761 0.007718 0.001640 
 0.013857 0.003841 0.007777 0.001550 
 0.013901 0.003961 0.007835 0.001590 
 0.013944 0.003851 0.007894 0.001740 
 0.013988 0.003621 0.007952 0.001870 
 0.014032 0.003671 0.008011 0.001650 
 0.014076 0.003661 0.008070 0.001680 
 0.014119 0.003311 0.008128 0.001610 
 0.014163 0.003391 0.008187 0.001640 
 0.014207 0.003481 0.008246 0.001710 
 0.014250 0.003311 0.008304 0.001670 
 0.014294 0.003631 0.008363 0.001770 
 0.014338 0.003371 0.008421 0.001670 
 0.014382 0.003311 0.008480 0.001610 
 0.014425 0.003101 0.008539 0.001760 
 0.014469 0.003151 0.008597 0.001770 
 0.014513 0.002921 0.008656 0.001790 
 0.014556 0.003121 0.008715 0.001890 
 0.014600 0.002951 0.008773 0.001950 
 0.014644 0.002490 0.008832 0.002010 
 0.014687 0.002650 0.008890 0.001810 
 0.014731 0.002991 0.008949 0.001660 
 0.014775 0.002400 0.009008 0.001710 
 0.014819 0.002520 0.009066 0.001790 
 0.014862 0.002490 0.009125 0.001870 
 0.014906 0.002781 0.009184 0.001750 
 0.014950 0.002520 0.009242 0.001670 
 0.014993 0.002400 0.009301 0.001780 
 0.015037 0.002540 0.009359 0.002010 
 0.015081 0.002590 0.009418 0.001810 
 0.015125 0.002220 0.009477 0.001830 
 0.015168 0.002310 0.009535 0.001940 
 0.015212 0.002120 0.009594 0.001940 
 0.015256 0.002320 0.009652 0.001850 
 0.015299 0.002260 0.009711 0.001890 
 0.015343 0.002220 0.009770 0.001670 
 0.015387 0.002130 0.009828 0.001950 
 0.015430 0.002140 0.009887 0.002220 
 0.015474 0.002140 0.009946 0.001850 
 0.015518 0.002200 0.010004 0.001810 
 0.015562 0.002330 0.010063 0.001930 
 0.015605 0.002280 0.010121 0.001890 
 0.015649 0.002180 0.010180 0.001860 
 0.015693 0.002180 0.010239 0.001920 
 0.015736 0.002240 0.010297 0.001880 
 0.015780 0.002090 0.010356 0.001960 
 0.015824 0.002090 0.010415 0.002060 
 0.015868 0.002310 0.010473 0.001900 
 0.015911 0.002190 0.010532 0.002200 
 0.015955 0.002010 0.010590 0.002100 
 0.015999 0.002290 0.010649 0.002000 
 0.016042 0.002390 0.010708 0.002090 
 0.016086 0.002250 0.010766 0.002390 
 0.016130 0.002510 0.010825 0.002220 
 0.016173 0.002180 0.010883 0.002300 
 0.016217 0.002470 0.010942 0.001890 
 0.016261 0.002440 0.011001 0.002270 
 0.016305 0.002560 0.011059 0.001900 
 0.016348 0.002400 0.011118 0.002210 
 0.016392 0.002791 0.011177 0.002000 
 0.016436 0.002620 0.011235 0.002350 
 0.016479 0.002921 0.011294 0.002280 
 0.016523 0.002710 0.011352 0.002090 
 0.016567 0.003121 0.011411 0.002340 
 0.016611 0.002640 0.011470 0.002150 
 0.016654 0.002750 0.011528 0.002180 
 0.016698 0.002821 0.011587 0.002280 
 0.016742 0.003321 0.011646 0.002590 
 0.016785 0.003321 0.011704 0.002620 
 0.016829 0.002991 0.011763 0.002370 
 0.016873 0.003321 0.011821 0.002240 
 0.016916 0.003071 0.011880 0.002360 
 0.016960 0.003391 0.011939 0.002390 
 0.017004 0.003021 0.011997 0.002330 
 0.017048 0.003361 0.012056 0.002400 
 0.017091 0.003541 0.012115 0.002690 
 0.017135 0.003591 0.012173 0.002410 
 0.017179 0.003561 0.012232 0.002150 
 0.017222 0.003511 0.012290 0.002821 
 0.017266 0.003011 0.012349 0.002520 
 0.017310 0.002981 0.012408 0.002510 
 0.017354 0.003111 0.012466 0.002720 
 0.017397 0.003041 0.012525 0.002580 
 0.017441 0.003011 0.012583 0.002720 
 0.017485 0.003171 0.012642 0.002430 
 0.017528 0.003611 0.012701 0.002290 
 0.017572 0.003131 0.012759 0.002490 
 0.017616 0.002991 0.012818 0.002490 
 0.017659 0.002961 0.012877 0.002390 
 0.017703 0.003291 0.012935 0.002861 
 0.017747 0.002781 0.012994 0.002921 
 0.017791 0.002991 0.013052 0.002670 
 0.017834 0.002740 0.013111 0.002911 
 0.017878 0.002821 0.013170 0.002871 
 0.017922 0.002971 0.013228 0.003141 
 0.017965 0.002720 0.013287 0.003171 
 0.018009 0.002871 0.013346 0.003141 
 0.018053 0.002710 0.013404 0.002931 
 0.018097 0.002891 0.013463 0.002951 
 0.018140 0.002740 0.013521 0.003301 
 0.018184 0.002901 0.013580 0.003071 
 0.018228 0.002420 0.013639 0.003361 
 0.018271 0.002420 0.013697 0.003311 
 0.018315 0.002390 0.013756 0.003221 
 0.018359 0.002770 0.013814 0.003031 
 0.018402 0.002530 0.013873 0.003081 
 0.018446 0.002180 0.013932 0.003431 
 0.018490 0.002370 0.013990 0.003021 
 0.018534 0.002630 0.014049 0.003241 
 0.018577 0.002570 0.014108 0.002891 
 0.018621 0.002640 0.014166 0.003131 
 0.018665 0.002600 0.014225 0.002951 
 0.018708 0.002630 0.014283 0.003241 
 0.018752 0.002690 0.014342 0.002931 
 0.018796 0.002851 0.014401 0.003311 
 0.018840 0.002510 0.014459 0.003201 
 0.018883 0.002490 0.014518 0.002821 
 0.018927 0.002710 0.014577 0.002770 
 0.018971 0.002630 0.014635 0.002991 
 0.019014 0.002330 0.014694 0.002991 
 0.019058 0.002600 0.014752 0.003181 
 0.019102 0.002290 0.014811 0.003171 
 0.019145 0.002450 0.014870 0.002811 
 0.019189 0.002340 0.014928 0.002740 
 0.019233 0.002230 0.014987 0.002540 
 0.019277 0.002390 0.015046 0.002760 
 0.019320 0.002420 0.015104 0.002430 
 0.019364 0.002410 0.015163 0.002530 
 0.019408 0.002470 0.015221 0.002520 
 0.019451 0.002180 0.015280 0.002390 
 0.019495 0.002260 0.015339 0.002330 
 0.019539 0.002100 0.015397 0.002580 
 0.019583 0.002380 0.015456 0.002300 
 0.019626 0.002290 0.015514 0.002630 
 0.019670 0.002110 0.015573 0.002700 
 0.019714 0.002230 0.015632 0.002390 
 0.019757 0.001870 0.015690 0.002380 
 0.019801 0.002000 0.015749 0.002160 
 0.019845 0.002330 0.015808 0.002320 
 0.019888 0.002130 0.015866 0.002210 
 0.019932 0.002250 0.015925 0.002240 
 0.019976 0.001870 0.015983 0.002280 
 0.020020 0.001800 0.016042 0.002370 
 0.020063 0.001810 0.016101 0.002550 
 0.020107 0.001960 0.016159 0.002580 
 0.020151 0.002130 0.016218 0.002590 
 0.020194 0.002130 0.016277 0.002250 
 0.020238 0.001680 0.016335 0.002380 
 0.020282 0.001820 0.016394 0.002110 
 0.020326 0.001810 0.016452 0.002380 
 0.020369 0.001520 0.016511 0.002500 
 0.020413 0.001550 0.016570 0.002310 
 0.020457 0.001640 0.016628 0.002680 
 0.020500 0.001370 0.016687 0.002330 
 0.020544 0.001670 0.016745 0.002110 
 0.020588 0.001410 0.016804 0.002400 
 0.020631 0.001350 0.016863 0.002290 
 0.020675 0.001440 0.016921 0.002240 
 0.020719 0.001360 0.016980 0.002270 
 0.020763 0.001370 0.017039 0.002450 
 0.020806 0.001180 0.017097 0.001970 
 0.020850 0.001520 0.017156 0.002220 
 0.020894 0.001410 0.017214 0.002350 
 0.020937 0.001060 0.017273 0.002490 
 0.020981 0.001090 0.017332 0.002130 
 0.021025 0.001100 0.017390 0.002170 
 0.021069 0.001040 0.017449 0.002030 
 0.021112 0.000970 0.017508 0.002030 
 0.021156 0.000860 0.017566 0.002150 
 0.021200 0.000970 0.017625 0.002140 
 0.021243 0.000880 0.017683 0.001950 
 0.021287 0.000720 0.017742 0.002020 
 0.021331 0.000780 0.017801 0.002090 
 0.021374 0.000620 0.017859 0.001850 
 0.021418 0.000770 0.017918 0.001840 
 0.021462 0.000750 0.017977 0.001960 
 0.021506 0.000710 0.018035 0.001720 
 0.021549 0.000570 0.018094 0.002070 
 0.021593 0.000830 0.018152 0.002010 
 0.021637 0.000610 0.018211 0.001810 
 0.021680 0.000620 0.018270 0.001750 
 0.021724 0.000600 0.018328 0.001760 
 0.021768 0.000630 0.018387 0.001540 
 0.021812 0.000710 0.018445 0.001950 
 0.021855 0.000520 0.018504 0.001590 
 0.021899 0.000590 0.018563 0.001940 
 0.021943 0.000500 0.018621 0.001620 
 0.021986 0.000630 0.018680 0.001570 
 0.022030 0.000570 0.018739 0.001780 
 0.022074 0.000590 0.018797 0.001560 
 0.022117 0.000640 0.018856 0.001440 
 0.022161 0.000680 0.018914 0.001780 
 0.022205 0.000580 0.018973 0.001790 
 0.022249 0.000660 0.019032 0.001600 
 0.022292 0.000670 0.019090 0.001530 
 0.022336 0.000680 0.019149 0.001600 
 0.022380 0.000570 0.019208 0.001390 
 0.022423 0.000510 0.019266 0.001560 
 0.022467 0.000470 0.019325 0.001510 
 0.022511 0.000550 0.019383 0.001570 
 0.022555 0.000510 0.019442 0.001350 
 0.022598 0.000580 0.019501 0.001660 
 0.022642 0.000690 0.019559 0.001510 
 0.022686 0.000590 0.019618 0.001520 
 0.022729 0.000560 0.019676 0.001360 
 0.022773 0.000470 0.019735 0.001280 
 0.022817 0.000530 0.019794 0.001430 
 0.022860 0.000470 0.019852 0.001290 
 0.022904 0.000630 0.019911 0.001210 
 0.022948 0.000500 0.019970 0.001290 
 0.022992 0.000590 0.020028 0.001270 
 0.023035 0.000640 0.020087 0.001470 
 0.023079 0.000590 0.020145 0.001570 
 0.023123 0.000630 0.020204 0.001250 
 0.023166 0.000610 0.020263 0.001160 
 0.023210 0.000490 0.020321 0.001080 
