#Accretion angular momentum 
#as function of Black Hole Mass
#rc_a and rc_b are bracketing the circularization radius,
#at which gas with initial angular momentum l_acc
#circularizes, which thus is the accretion radius
#
#l_acc, mbh, log(l_acc), log(mbh), rc_a, rc_b
0.003100 0.009700 -2.508638 -2.013229 0.001055 0.000990
0.003100 0.009800 -2.508638 -2.008774 0.001045 0.000980
0.003100 0.009900 -2.508638 -2.004365 0.001034 0.000970
0.003100 0.010000 -2.508638 -2.000000 0.001024 0.000961
0.003100 0.010100 -2.508638 -1.995679 0.001014 0.000951
0.003100 0.010200 -2.508638 -1.991400 0.001004 0.000942
0.003200 0.010300 -2.494850 -1.987163 0.001057 0.000994
0.003200 0.010400 -2.494850 -1.982967 0.001047 0.000984
0.003200 0.010500 -2.494850 -1.978811 0.001037 0.000975
0.003200 0.010600 -2.494850 -1.974695 0.001027 0.000966
0.003200 0.010700 -2.494850 -1.970617 0.001018 0.000957
0.003200 0.010800 -2.494850 -1.966577 0.001008 0.000948
0.003300 0.010900 -2.481486 -1.962574 0.001060 0.000999
0.003300 0.011000 -2.481486 -1.958608 0.001051 0.000990
0.003300 0.011100 -2.481486 -1.954677 0.001041 0.000981
0.003300 0.011200 -2.481486 -1.950782 0.001032 0.000972
0.003300 0.011300 -2.481486 -1.946922 0.001023 0.000964
0.003300 0.011400 -2.481486 -1.943096 0.001014 0.000955
0.003300 0.011500 -2.481486 -1.939303 0.001005 0.000947
0.003400 0.011600 -2.468521 -1.935542 0.001056 0.000996
0.003400 0.011700 -2.468521 -1.931815 0.001047 0.000988
0.003400 0.011800 -2.468521 -1.928118 0.001038 0.000979
0.003400 0.011900 -2.468521 -1.924454 0.001029 0.000971
0.003400 0.012000 -2.468521 -1.920819 0.001021 0.000963
0.003400 0.012100 -2.468521 -1.917215 0.001012 0.000955
0.003400 0.012200 -2.468521 -1.913641 0.001004 0.000947
0.003500 0.012300 -2.455932 -1.910095 0.001053 0.000996
0.003500 0.012400 -2.455932 -1.906579 0.001045 0.000988
0.003500 0.012500 -2.455932 -1.903090 0.001037 0.000980
0.003500 0.012600 -2.455932 -1.899630 0.001028 0.000972
0.003500 0.012700 -2.455932 -1.896197 0.001020 0.000964
0.003500 0.012800 -2.455932 -1.892791 0.001012 0.000957
0.003500 0.012900 -2.455932 -1.889411 0.001004 0.000949
0.003600 0.013000 -2.443697 -1.886057 0.001053 0.000997
0.003600 0.013100 -2.443697 -1.882729 0.001045 0.000989
0.003600 0.013200 -2.443697 -1.879427 0.001037 0.000982
0.003600 0.013300 -2.443697 -1.876149 0.001029 0.000974
0.003600 0.013400 -2.443697 -1.872896 0.001021 0.000967
0.003600 0.013500 -2.443697 -1.869667 0.001014 0.000960
0.003600 0.013600 -2.443697 -1.866462 0.001006 0.000953
0.003700 0.013700 -2.431798 -1.863280 0.001054 0.000999
0.003700 0.013800 -2.431798 -1.860121 0.001046 0.000992
0.003700 0.013900 -2.431798 -1.856986 0.001039 0.000985
0.003700 0.014000 -2.431798 -1.853872 0.001031 0.000978
0.003700 0.014100 -2.431798 -1.850781 0.001024 0.000971
0.003700 0.014200 -2.431798 -1.847712 0.001017 0.000964
0.003700 0.014300 -2.431798 -1.844664 0.001010 0.000957
0.003700 0.014400 -2.431798 -1.841638 0.001003 0.000951
0.003800 0.014500 -2.420216 -1.838633 0.001049 0.000996
0.003800 0.014600 -2.420216 -1.835648 0.001042 0.000989
0.003800 0.014700 -2.420216 -1.832683 0.001035 0.000982
0.003800 0.014800 -2.420216 -1.829739 0.001028 0.000976
0.003800 0.014900 -2.420216 -1.826814 0.001021 0.000969
0.003800 0.015000 -2.420216 -1.823909 0.001014 0.000963
0.003800 0.015100 -2.420216 -1.821024 0.001007 0.000956
0.003800 0.015200 -2.420216 -1.818157 0.001000 0.000950
0.003900 0.015300 -2.408935 -1.815309 0.001046 0.000994
0.003900 0.015400 -2.408935 -1.812480 0.001039 0.000988
0.003900 0.015500 -2.408935 -1.809669 0.001032 0.000981
0.003900 0.015600 -2.408935 -1.806876 0.001025 0.000975
0.003900 0.015700 -2.408935 -1.804101 0.001019 0.000969
0.003900 0.015800 -2.408935 -1.801343 0.001012 0.000963
0.003900 0.015900 -2.408935 -1.798603 0.001006 0.000956
0.004000 0.016000 -2.397940 -1.795881 0.001050 0.001000
0.004000 0.016100 -2.397940 -1.793175 0.001044 0.000994
0.004000 0.016200 -2.397940 -1.790486 0.001037 0.000988
0.004000 0.016300 -2.397940 -1.787813 0.001031 0.000981
0.004000 0.016400 -2.397940 -1.785157 0.001025 0.000975
0.004000 0.016500 -2.397940 -1.782517 0.001019 0.000970
0.004000 0.016600 -2.397940 -1.779892 0.001012 0.000964
0.004000 0.016700 -2.397940 -1.777284 0.001006 0.000958
0.004000 0.016800 -2.397940 -1.774691 0.001000 0.000952
0.004100 0.016900 -2.387216 -1.772114 0.001044 0.000995
0.004100 0.017000 -2.387216 -1.769552 0.001037 0.000989
0.004100 0.017100 -2.387216 -1.767004 0.001031 0.000983
0.004100 0.017200 -2.387216 -1.764472 0.001025 0.000977
0.004100 0.017300 -2.387216 -1.761954 0.001019 0.000972
0.004100 0.017400 -2.387216 -1.759451 0.001014 0.000966
0.004100 0.017500 -2.387216 -1.756963 0.001008 0.000960
0.004100 0.017600 -2.387216 -1.754488 0.001002 0.000955
0.004200 0.017700 -2.376751 -1.752027 0.001044 0.000996
0.004200 0.017800 -2.376751 -1.749581 0.001039 0.000991
0.004200 0.017900 -2.376751 -1.747148 0.001033 0.000985
0.004200 0.018000 -2.376751 -1.744728 0.001027 0.000980
0.004200 0.018100 -2.376751 -1.742322 0.001021 0.000974
0.004200 0.018200 -2.376751 -1.739929 0.001016 0.000969
0.004200 0.018300 -2.376751 -1.737549 0.001010 0.000964
0.004200 0.018400 -2.376751 -1.735183 0.001005 0.000959
0.004300 0.018500 -2.366532 -1.732829 0.001046 0.000999
0.004300 0.018600 -2.366532 -1.730488 0.001041 0.000994
0.004300 0.018700 -2.366532 -1.728159 0.001035 0.000989
0.004300 0.018800 -2.366532 -1.725843 0.001030 0.000983
0.004300 0.018900 -2.366532 -1.723539 0.001024 0.000978
0.004300 0.019000 -2.366532 -1.721247 0.001019 0.000973
0.004300 0.019100 -2.366532 -1.718967 0.001013 0.000968
0.004300 0.019200 -2.366532 -1.716699 0.001008 0.000963
0.004300 0.019300 -2.366532 -1.714443 0.001003 0.000958
0.004400 0.019400 -2.356547 -1.712199 0.001044 0.000998
0.004400 0.019500 -2.356547 -1.709966 0.001038 0.000993
0.004400 0.019600 -2.356547 -1.707745 0.001033 0.000988
0.004400 0.019700 -2.356547 -1.705534 0.001028 0.000983
0.004400 0.019800 -2.356547 -1.703335 0.001023 0.000978
0.004400 0.019900 -2.356547 -1.701147 0.001017 0.000973
0.004400 0.020000 -2.356547 -1.698971 0.001012 0.000968
0.004400 0.020100 -2.356547 -1.696805 0.001007 0.000963
0.004400 0.020200 -2.356547 -1.694649 0.001002 0.000958
0.004500 0.020300 -2.346788 -1.692505 0.001042 0.000997
0.004500 0.020400 -2.346788 -1.690370 0.001037 0.000993
0.004500 0.020500 -2.346788 -1.688247 0.001032 0.000988
0.004500 0.020600 -2.346788 -1.686133 0.001027 0.000983
0.004500 0.020700 -2.346788 -1.684030 0.001022 0.000978
0.004500 0.020800 -2.346788 -1.681937 0.001017 0.000973
0.004500 0.020900 -2.346788 -1.679854 0.001012 0.000969
0.004500 0.021000 -2.346788 -1.677781 0.001007 0.000964
0.004500 0.021100 -2.346788 -1.675718 0.001003 0.000960
0.004600 0.021200 -2.337242 -1.673665 0.001042 0.000998
0.004600 0.021300 -2.337242 -1.671621 0.001037 0.000993
0.004600 0.021400 -2.337242 -1.669587 0.001032 0.000989
0.004600 0.021500 -2.337242 -1.667562 0.001027 0.000984
0.004600 0.021600 -2.337242 -1.665547 0.001023 0.000980
0.004600 0.021700 -2.337242 -1.663541 0.001018 0.000975
0.004600 0.021800 -2.337242 -1.661544 0.001013 0.000971
0.004600 0.021900 -2.337242 -1.659556 0.001009 0.000966
0.004600 0.022000 -2.337242 -1.657578 0.001004 0.000962
0.004700 0.022100 -2.327902 -1.655608 0.001042 0.000999
0.004700 0.022200 -2.327902 -1.653648 0.001038 0.000995
0.004700 0.022300 -2.327902 -1.651696 0.001033 0.000990
0.004700 0.022400 -2.327902 -1.649753 0.001028 0.000986
0.004700 0.022500 -2.327902 -1.647818 0.001024 0.000982
0.004700 0.022600 -2.327902 -1.645892 0.001019 0.000977
0.004700 0.022700 -2.327902 -1.643975 0.001015 0.000973
0.004700 0.022800 -2.327902 -1.642066 0.001010 0.000969
0.004700 0.022900 -2.327902 -1.640165 0.001006 0.000965
0.004700 0.023000 -2.327902 -1.638273 0.001002 0.000960
0.004800 0.023100 -2.318759 -1.636389 0.001039 0.000997
0.004800 0.023200 -2.318759 -1.634513 0.001035 0.000993
0.004800 0.023300 -2.318759 -1.632645 0.001030 0.000989
0.004800 0.023400 -2.318759 -1.630785 0.001026 0.000985
0.004800 0.023500 -2.318759 -1.628933 0.001022 0.000980
0.004800 0.023600 -2.318759 -1.627089 0.001017 0.000976
0.004800 0.023700 -2.318759 -1.625252 0.001013 0.000972
0.004800 0.023800 -2.318759 -1.623424 0.001009 0.000968
0.004800 0.023900 -2.318759 -1.621603 0.001004 0.000964
0.004800 0.024000 -2.318759 -1.619789 0.001000 0.000960
0.004900 0.024100 -2.309804 -1.617984 0.001037 0.000996
0.004900 0.024200 -2.309804 -1.616185 0.001033 0.000992
0.004900 0.024300 -2.309804 -1.614394 0.001029 0.000988
0.004900 0.024400 -2.309804 -1.612611 0.001024 0.000984
0.004900 0.024500 -2.309804 -1.610835 0.001020 0.000980
0.004900 0.024600 -2.309804 -1.609065 0.001016 0.000976
0.004900 0.024700 -2.309804 -1.607304 0.001012 0.000972
0.004900 0.024800 -2.309804 -1.605549 0.001008 0.000968
0.004900 0.024900 -2.309804 -1.603801 0.001004 0.000964
0.005000 0.025000 -2.301030 -1.602061 0.001040 0.001000
0.005000 0.025100 -2.301030 -1.600327 0.001036 0.000996
0.005000 0.025200 -2.301030 -1.598600 0.001032 0.000992
0.005000 0.025300 -2.301030 -1.596880 0.001028 0.000988
0.005000 0.025400 -2.301030 -1.595167 0.001024 0.000984
0.005000 0.025500 -2.301030 -1.593460 0.001020 0.000980
