#rbin[i] Nr[i] lbin[i] Nl[i]
 0.000978 0.000010 0.000001 0.000061 
 0.000990 0.000000 0.000013 0.000101 
 0.001002 0.000010 0.000026 0.000182 
 0.001014 0.000000 0.000039 0.000232 
 0.001026 0.000000 0.000051 0.000272 
 0.001038 0.000010 0.000064 0.000373 
 0.001051 0.000000 0.000076 0.000404 
 0.001063 0.000000 0.000089 0.000505 
 0.001075 0.000010 0.000102 0.000494 
 0.001087 0.000010 0.000114 0.000565 
 0.001099 0.000000 0.000127 0.000575 
 0.001111 0.000000 0.000139 0.000494 
 0.001123 0.000000 0.000152 0.000646 
 0.001135 0.000000 0.000165 0.000414 
 0.001147 0.000000 0.000177 0.000686 
 0.001159 0.000020 0.000190 0.000636 
 0.001172 0.000010 0.000202 0.000757 
 0.001184 0.000020 0.000215 0.000777 
 0.001196 0.000000 0.000228 0.000777 
 0.001208 0.000010 0.000240 0.000757 
 0.001220 0.000020 0.000253 0.000858 
 0.001232 0.000000 0.000265 0.000666 
 0.001244 0.000000 0.000278 0.000767 
 0.001256 0.000010 0.000291 0.000928 
 0.001268 0.000000 0.000303 0.000918 
 0.001281 0.000000 0.000316 0.000747 
 0.001293 0.000000 0.000328 0.000777 
 0.001305 0.000010 0.000341 0.000848 
 0.001317 0.000010 0.000354 0.000939 
 0.001329 0.000030 0.000366 0.000979 
 0.001341 0.000010 0.000379 0.001029 
 0.001353 0.000010 0.000391 0.001070 
 0.001365 0.000020 0.000404 0.000777 
 0.001377 0.000010 0.000417 0.001009 
 0.001389 0.000020 0.000429 0.001009 
 0.001402 0.000010 0.000442 0.000979 
 0.001414 0.000040 0.000454 0.000878 
 0.001426 0.000020 0.000467 0.001009 
 0.001438 0.000020 0.000480 0.000838 
 0.001450 0.000081 0.000492 0.001009 
 0.001462 0.000061 0.000505 0.001019 
 0.001474 0.000020 0.000517 0.000807 
 0.001486 0.000030 0.000530 0.001171 
 0.001498 0.000091 0.000543 0.000989 
 0.001510 0.000020 0.000555 0.001019 
 0.001523 0.000081 0.000568 0.001171 
 0.001535 0.000061 0.000580 0.001039 
 0.001547 0.000141 0.000593 0.001080 
 0.001559 0.000061 0.000606 0.001070 
 0.001571 0.000040 0.000618 0.000969 
 0.001583 0.000161 0.000631 0.000989 
 0.001595 0.000151 0.000643 0.001070 
 0.001607 0.000212 0.000656 0.000969 
 0.001619 0.000283 0.000669 0.001100 
 0.001632 0.000202 0.000681 0.001019 
 0.001644 0.000293 0.000694 0.001272 
 0.001656 0.000252 0.000706 0.001029 
 0.001668 0.000222 0.000719 0.001110 
 0.001680 0.000222 0.000732 0.001070 
 0.001692 0.000404 0.000744 0.000959 
 0.001704 0.000272 0.000757 0.000959 
 0.001716 0.000373 0.000769 0.000959 
 0.001728 0.000222 0.000782 0.001029 
 0.001740 0.000202 0.000795 0.000918 
 0.001753 0.000303 0.000807 0.001140 
 0.001765 0.000333 0.000820 0.001029 
 0.001777 0.000222 0.000832 0.001050 
 0.001789 0.000333 0.000845 0.000817 
 0.001801 0.000222 0.000858 0.000928 
 0.001813 0.000121 0.000870 0.000989 
 0.001825 0.000081 0.000883 0.001009 
 0.001837 0.000131 0.000895 0.001090 
 0.001849 0.000202 0.000908 0.001070 
 0.001861 0.000182 0.000921 0.000918 
 0.001874 0.000283 0.000933 0.000928 
 0.001886 0.000272 0.000946 0.000858 
 0.001898 0.000161 0.000958 0.000999 
 0.001910 0.000071 0.000971 0.000959 
 0.001922 0.000050 0.000984 0.000807 
 0.001934 0.000020 0.000996 0.001060 
 0.001946 0.000030 0.001009 0.000969 
 0.001958 0.000030 0.001021 0.000898 
 0.001970 0.000040 0.001034 0.000928 
 0.001983 0.000101 0.001047 0.001090 
 0.001995 0.000071 0.001059 0.000989 
 0.002007 0.000151 0.001072 0.000908 
 0.002019 0.000131 0.001084 0.000939 
 0.002031 0.000303 0.001097 0.000918 
 0.002043 0.000192 0.001110 0.000878 
 0.002055 0.000101 0.001122 0.001070 
 0.002067 0.000091 0.001135 0.000898 
 0.002079 0.000091 0.001147 0.000939 
 0.002091 0.000131 0.001160 0.001009 
 0.002104 0.000061 0.001173 0.000939 
 0.002116 0.000040 0.001185 0.001221 
 0.002128 0.000101 0.001198 0.000868 
 0.002140 0.000111 0.001210 0.000898 
 0.002152 0.000172 0.001223 0.000807 
 0.002164 0.000303 0.001236 0.001070 
 0.002176 0.000141 0.001248 0.000949 
 0.002188 0.000182 0.001261 0.000817 
 0.002200 0.000182 0.001273 0.001029 
 0.002212 0.000242 0.001286 0.000999 
 0.002225 0.000172 0.001299 0.001130 
 0.002237 0.000192 0.001311 0.000949 
 0.002249 0.000252 0.001324 0.000898 
 0.002261 0.000262 0.001336 0.001019 
 0.002273 0.000262 0.001349 0.001039 
 0.002285 0.000151 0.001362 0.000989 
 0.002297 0.000262 0.001374 0.000767 
 0.002309 0.000262 0.001387 0.000989 
 0.002321 0.000313 0.001399 0.000979 
 0.002334 0.000212 0.001412 0.001009 
 0.002346 0.000283 0.001425 0.001120 
 0.002358 0.000232 0.001437 0.000858 
 0.002370 0.000232 0.001450 0.000959 
 0.002382 0.000232 0.001462 0.000918 
 0.002394 0.000323 0.001475 0.000908 
 0.002406 0.000242 0.001488 0.000969 
 0.002418 0.000212 0.001500 0.000817 
 0.002430 0.000222 0.001513 0.000999 
 0.002442 0.000414 0.001525 0.001019 
 0.002455 0.000293 0.001538 0.001080 
 0.002467 0.000172 0.001551 0.001039 
 0.002479 0.000192 0.001563 0.001019 
 0.002491 0.000283 0.001576 0.000939 
 0.002503 0.000313 0.001588 0.001181 
 0.002515 0.000192 0.001601 0.000999 
 0.002527 0.000283 0.001614 0.001140 
 0.002539 0.000172 0.001626 0.001080 
 0.002551 0.000222 0.001639 0.000858 
 0.002563 0.000272 0.001651 0.001161 
 0.002576 0.000212 0.001664 0.000908 
 0.002588 0.000232 0.001677 0.001029 
 0.002600 0.000232 0.001689 0.000888 
 0.002612 0.000272 0.001702 0.000969 
 0.002624 0.000252 0.001714 0.001029 
 0.002636 0.000242 0.001727 0.000848 
 0.002648 0.000252 0.001740 0.000989 
 0.002660 0.000262 0.001752 0.001070 
 0.002672 0.000293 0.001765 0.001060 
 0.002685 0.000212 0.001777 0.001130 
 0.002697 0.000293 0.001790 0.000838 
 0.002709 0.000293 0.001803 0.000918 
 0.002721 0.000262 0.001815 0.000898 
 0.002733 0.000323 0.001828 0.000979 
 0.002745 0.000242 0.001840 0.000928 
 0.002757 0.000252 0.001853 0.001120 
 0.002769 0.000242 0.001866 0.001110 
 0.002781 0.000212 0.001878 0.000878 
 0.002793 0.000343 0.001891 0.000828 
 0.002806 0.000182 0.001903 0.000979 
 0.002818 0.000283 0.001916 0.000928 
 0.002830 0.000222 0.001929 0.000878 
 0.002842 0.000272 0.001941 0.000979 
 0.002854 0.000293 0.001954 0.001009 
 0.002866 0.000353 0.001966 0.001060 
 0.002878 0.000323 0.001979 0.000939 
 0.002890 0.000182 0.001992 0.000989 
 0.002902 0.000262 0.002004 0.000969 
 0.002914 0.000252 0.002017 0.000767 
 0.002927 0.000283 0.002029 0.000767 
 0.002939 0.000303 0.002042 0.001090 
 0.002951 0.000283 0.002055 0.001070 
 0.002963 0.000262 0.002067 0.000979 
 0.002975 0.000283 0.002080 0.001171 
 0.002987 0.000343 0.002092 0.000838 
 0.002999 0.000252 0.002105 0.000888 
 0.003011 0.000283 0.002118 0.000878 
 0.003023 0.000222 0.002130 0.001050 
 0.003035 0.000182 0.002143 0.001231 
 0.003048 0.000252 0.002155 0.000848 
 0.003060 0.000192 0.002168 0.000979 
 0.003072 0.000323 0.002181 0.001050 
 0.003084 0.000323 0.002193 0.000979 
 0.003096 0.000232 0.002206 0.000807 
 0.003108 0.000313 0.002218 0.001070 
 0.003120 0.000293 0.002231 0.000918 
 0.003132 0.000252 0.002244 0.000898 
 0.003144 0.000222 0.002256 0.000817 
 0.003157 0.000283 0.002269 0.000989 
 0.003169 0.000161 0.002281 0.000979 
 0.003181 0.000252 0.002294 0.001039 
 0.003193 0.000283 0.002307 0.001110 
 0.003205 0.000283 0.002319 0.000979 
 0.003217 0.000262 0.002332 0.001130 
 0.003229 0.000283 0.002344 0.001029 
 0.003241 0.000222 0.002357 0.000898 
 0.003253 0.000272 0.002370 0.001039 
 0.003265 0.000272 0.002382 0.000959 
 0.003278 0.000212 0.002395 0.001019 
 0.003290 0.000343 0.002407 0.000777 
 0.003302 0.000172 0.002420 0.001050 
 0.003314 0.000323 0.002433 0.001090 
 0.003326 0.000252 0.002445 0.000949 
 0.003338 0.000303 0.002458 0.000928 
 0.003350 0.000192 0.002471 0.000989 
 0.003362 0.000222 0.002483 0.000928 
 0.003374 0.000151 0.002496 0.000959 
 0.003386 0.000272 0.002508 0.001029 
 0.003399 0.000283 0.002521 0.001019 
 0.003411 0.000212 0.002534 0.001060 
 0.003423 0.000172 0.002546 0.000999 
 0.003435 0.000242 0.002559 0.000686 
 0.003447 0.000202 0.002571 0.001009 
 0.003459 0.000313 0.002584 0.001100 
 0.003471 0.000222 0.002597 0.000999 
 0.003483 0.000121 0.002609 0.000838 
 0.003495 0.000343 0.002622 0.001120 
 0.003508 0.000182 0.002634 0.000979 
 0.003520 0.000262 0.002647 0.000939 
 0.003532 0.000293 0.002660 0.000858 
 0.003544 0.000192 0.002672 0.000999 
 0.003556 0.000252 0.002685 0.000898 
 0.003568 0.000293 0.002697 0.001060 
 0.003580 0.000202 0.002710 0.001110 
 0.003592 0.000202 0.002723 0.000959 
 0.003604 0.000172 0.002735 0.000999 
 0.003616 0.000242 0.002748 0.000898 
 0.003629 0.000151 0.002760 0.000939 
 0.003641 0.000131 0.002773 0.000928 
 0.003653 0.000232 0.002786 0.001060 
 0.003665 0.000242 0.002798 0.000878 
 0.003677 0.000172 0.002811 0.000868 
 0.003689 0.000202 0.002823 0.001100 
 0.003701 0.000192 0.002836 0.000817 
 0.003713 0.000323 0.002849 0.000908 
 0.003725 0.000192 0.002861 0.000878 
 0.003737 0.000151 0.002874 0.000969 
 0.003750 0.000212 0.002886 0.000838 
 0.003762 0.000283 0.002899 0.000959 
 0.003774 0.000272 0.002912 0.001009 
 0.003786 0.000151 0.002924 0.001161 
 0.003798 0.000293 0.002937 0.000878 
 0.003810 0.000313 0.002949 0.000949 
 0.003822 0.000182 0.002962 0.000959 
 0.003834 0.000161 0.002975 0.000979 
 0.003846 0.000141 0.002987 0.000747 
 0.003859 0.000262 0.003000 0.001100 
 0.003871 0.000161 0.003012 0.000939 
 0.003883 0.000202 0.003025 0.000959 
 0.003895 0.000182 0.003038 0.000918 
 0.003907 0.000172 0.003050 0.000918 
 0.003919 0.000232 0.003063 0.000888 
 0.003931 0.000272 0.003075 0.000848 
 0.003943 0.000293 0.003088 0.000999 
 0.003955 0.000202 0.003101 0.000939 
 0.003967 0.000283 0.003113 0.000807 
 0.003980 0.000232 0.003126 0.000999 
 0.003992 0.000212 0.003138 0.000908 
 0.004004 0.000101 0.003151 0.000747 
 0.004016 0.000232 0.003164 0.000918 
 0.004028 0.000202 0.003176 0.001029 
 0.004040 0.000212 0.003189 0.000959 
 0.004052 0.000161 0.003201 0.001060 
 0.004064 0.000212 0.003214 0.001039 
 0.004076 0.000202 0.003227 0.000908 
 0.004088 0.000172 0.003239 0.000989 
 0.004101 0.000283 0.003252 0.000767 
 0.004113 0.000202 0.003264 0.000868 
 0.004125 0.000131 0.003277 0.001080 
 0.004137 0.000212 0.003290 0.000848 
 0.004149 0.000212 0.003302 0.000928 
 0.004161 0.000283 0.003315 0.000949 
 0.004173 0.000232 0.003327 0.000908 
 0.004185 0.000232 0.003340 0.000979 
 0.004197 0.000131 0.003353 0.000858 
