#rbin[i] Nr[i] lbin[i] Nl[i]
 0.001004 0.000056 0.000001 0.000167 
 0.001010 0.000033 0.000008 0.000457 
 0.001015 0.000033 0.000014 0.000391 
 0.001020 0.000056 0.000020 0.000524 
 0.001025 0.000022 0.000026 0.000703 
 0.001031 0.000045 0.000032 0.000692 
 0.001036 0.000022 0.000039 0.000937 
 0.001041 0.000045 0.000045 0.000948 
 0.001046 0.000045 0.000051 0.001015 
 0.001051 0.000045 0.000057 0.000848 
 0.001057 0.000011 0.000063 0.000870 
 0.001062 0.000056 0.000070 0.001038 
 0.001067 0.000033 0.000076 0.001361 
 0.001072 0.000045 0.000082 0.001116 
 0.001078 0.000045 0.000088 0.001105 
 0.001083 0.000112 0.000094 0.001172 
 0.001088 0.000033 0.000100 0.001395 
 0.001093 0.000022 0.000107 0.001239 
 0.001098 0.000067 0.000113 0.001361 
 0.001104 0.000167 0.000119 0.001317 
 0.001109 0.000145 0.000125 0.001205 
 0.001114 0.000145 0.000131 0.001227 
 0.001119 0.000268 0.000138 0.001317 
 0.001124 0.000123 0.000144 0.001451 
 0.001130 0.000223 0.000150 0.001250 
 0.001135 0.000234 0.000156 0.001272 
 0.001140 0.000301 0.000162 0.001127 
 0.001145 0.000324 0.000169 0.001406 
 0.001151 0.000413 0.000175 0.001350 
 0.001156 0.000435 0.000181 0.001372 
 0.001161 0.000491 0.000187 0.001350 
 0.001166 0.000614 0.000193 0.000993 
 0.001171 0.000681 0.000199 0.001239 
 0.001177 0.000569 0.000206 0.001027 
 0.001182 0.000658 0.000212 0.001216 
 0.001187 0.000792 0.000218 0.001328 
 0.001192 0.000859 0.000224 0.001060 
 0.001198 0.000837 0.000230 0.001239 
 0.001203 0.001071 0.000237 0.001305 
 0.001208 0.000926 0.000243 0.001372 
 0.001213 0.000926 0.000249 0.001372 
 0.001218 0.001082 0.000255 0.001395 
 0.001224 0.000960 0.000261 0.001272 
 0.001229 0.000893 0.000268 0.000971 
 0.001234 0.001049 0.000274 0.001060 
 0.001239 0.001015 0.000280 0.001149 
 0.001245 0.000837 0.000286 0.001172 
 0.001250 0.000859 0.000292 0.001194 
 0.001255 0.000993 0.000299 0.001239 
 0.001260 0.000870 0.000305 0.001105 
 0.001265 0.000826 0.000311 0.001004 
 0.001271 0.000893 0.000317 0.001272 
 0.001276 0.000926 0.000323 0.001149 
 0.001281 0.000736 0.000329 0.001250 
 0.001286 0.000759 0.000336 0.001172 
 0.001292 0.000803 0.000342 0.001205 
 0.001297 0.000859 0.000348 0.001060 
 0.001302 0.000926 0.000354 0.001183 
 0.001307 0.000915 0.000360 0.000993 
 0.001312 0.000748 0.000367 0.001082 
 0.001318 0.000792 0.000373 0.001160 
 0.001323 0.000848 0.000379 0.001227 
 0.001328 0.000736 0.000385 0.001105 
 0.001333 0.000893 0.000391 0.001361 
 0.001339 0.000837 0.000398 0.001127 
 0.001344 0.000937 0.000404 0.001183 
 0.001349 0.000881 0.000410 0.001395 
 0.001354 0.000792 0.000416 0.001105 
 0.001359 0.000870 0.000422 0.001060 
 0.001365 0.000893 0.000428 0.001160 
 0.001370 0.000971 0.000435 0.001205 
 0.001375 0.000837 0.000441 0.001127 
 0.001380 0.000915 0.000447 0.001294 
 0.001386 0.001015 0.000453 0.001060 
 0.001391 0.000926 0.000459 0.001093 
 0.001396 0.000948 0.000466 0.001093 
 0.001401 0.000803 0.000472 0.001205 
 0.001406 0.001082 0.000478 0.001160 
 0.001412 0.000982 0.000484 0.001283 
 0.001417 0.000904 0.000490 0.001283 
 0.001422 0.000960 0.000497 0.001160 
 0.001427 0.000870 0.000503 0.001451 
 0.001432 0.000893 0.000509 0.001261 
 0.001438 0.001149 0.000515 0.001261 
 0.001443 0.001138 0.000521 0.001027 
 0.001448 0.001105 0.000528 0.001071 
 0.001453 0.001038 0.000534 0.001272 
 0.001459 0.001116 0.000540 0.001116 
 0.001464 0.001049 0.000546 0.001205 
 0.001469 0.001004 0.000552 0.001060 
 0.001474 0.000915 0.000558 0.001172 
 0.001479 0.001060 0.000565 0.001015 
 0.001485 0.000837 0.000571 0.001250 
 0.001490 0.001071 0.000577 0.001127 
 0.001495 0.000993 0.000583 0.001116 
 0.001500 0.001160 0.000589 0.001071 
 0.001506 0.001116 0.000596 0.001093 
 0.001511 0.001049 0.000602 0.001305 
 0.001516 0.001105 0.000608 0.001082 
 0.001521 0.001038 0.000614 0.001239 
 0.001526 0.000971 0.000620 0.001183 
 0.001532 0.000948 0.000627 0.001205 
 0.001537 0.001172 0.000633 0.001305 
 0.001542 0.001116 0.000639 0.001049 
 0.001547 0.001127 0.000645 0.000993 
 0.001553 0.001082 0.000651 0.001183 
 0.001558 0.000859 0.000657 0.001205 
 0.001563 0.001194 0.000664 0.001328 
 0.001568 0.001105 0.000670 0.001093 
 0.001573 0.001049 0.000676 0.001138 
