#rbin[i] Nr[i] lbin[i] Nl[i]
 0.000848 0.000033 0.000002 0.000820 
 0.000886 0.000044 0.000041 0.002110 
 0.000923 0.000044 0.000080 0.003499 
 0.000961 0.000164 0.000119 0.003937 
 0.000999 0.001312 0.000158 0.003980 
 0.001036 0.002493 0.000197 0.004549 
 0.001074 0.003882 0.000236 0.005085 
 0.001111 0.004713 0.000275 0.004910 
 0.001149 0.004527 0.000314 0.005544 
 0.001187 0.005468 0.000353 0.005063 
 0.001224 0.005511 0.000392 0.005675 
 0.001262 0.005632 0.000431 0.005216 
 0.001299 0.005643 0.000470 0.005413 
 0.001337 0.005675 0.000509 0.005664 
 0.001375 0.005653 0.000548 0.005763 
 0.001412 0.005774 0.000587 0.005992 
 0.001450 0.005883 0.000626 0.005982 
 0.001487 0.005293 0.000665 0.006277 
 0.001525 0.005883 0.000704 0.005905 
 0.001562 0.005282 0.000743 0.005872 
 0.001600 0.005653 0.000782 0.005938 
 0.001638 0.004986 0.000821 0.006397 
 0.001675 0.004735 0.000860 0.006889 
 0.001713 0.003948 0.000899 0.006331 
 0.001750 0.003456 0.000938 0.006528 
 0.001788 0.003412 0.000977 0.006933 
 0.001826 0.002592 0.001016 0.007414 
 0.001863 0.002384 0.001055 0.007403 
 0.001901 0.002110 0.001094 0.007622 
 0.001938 0.002067 0.001133 0.007600 
 0.001976 0.001771 0.001172 0.007556 
 0.002014 0.001575 0.001211 0.007436 
 0.002051 0.001476 0.001250 0.007152 
 0.002089 0.001378 0.001289 0.007381 
 0.002126 0.001137 0.001328 0.006692 
 0.002164 0.001433 0.001367 0.006670 
 0.002201 0.001334 0.001406 0.006539 
 0.002239 0.001389 0.001445 0.006780 
 0.002277 0.001345 0.001484 0.006638 
 0.002314 0.001159 0.001523 0.006091 
 0.002352 0.001389 0.001562 0.005686 
 0.002389 0.001378 0.001601 0.005960 
 0.002427 0.001268 0.001640 0.005325 
 0.002465 0.001487 0.001679 0.005774 
 0.002502 0.001323 0.001718 0.005457 
 0.002540 0.001597 0.001757 0.004866 
 0.002577 0.001739 0.001796 0.004888 
 0.002615 0.001793 0.001835 0.004768 
 0.002653 0.001782 0.001874 0.004986 
 0.002690 0.002231 0.001913 0.004637 
 0.002728 0.002603 0.001952 0.004385 
 0.002765 0.002920 0.001991 0.004997 
 0.002803 0.002898 0.002030 0.004866 
 0.002840 0.003346 0.002069 0.004888 
 0.002878 0.004177 0.002108 0.004604 
 0.002916 0.004341 0.002147 0.004385 
 0.002953 0.005850 0.002186 0.004943 
 0.002991 0.006813 0.002225 0.004604 
 0.003028 0.008912 0.002264 0.004976 
 0.003066 0.010345 0.002303 0.005369 
 0.003104 0.012061 0.002342 0.005074 
 0.003141 0.013581 0.002381 0.004801 
 0.003179 0.015451 0.002420 0.005118 
 0.003216 0.016108 0.002459 0.005653 
 0.003254 0.016764 0.002498 0.005227 
 0.003292 0.017026 0.002537 0.005522 
 0.003329 0.016665 0.002576 0.005336 
 0.003367 0.016490 0.002615 0.005369 
 0.003404 0.015189 0.002654 0.005522 
 0.003442 0.014817 0.002693 0.005807 
 0.003480 0.014456 0.002732 0.005621 
 0.003517 0.013144 0.002771 0.006091 
 0.003555 0.013494 0.002810 0.006091 
 0.003592 0.012171 0.002849 0.006157 
 0.003630 0.011876 0.002888 0.006495 
 0.003667 0.011635 0.002927 0.006878 
 0.003705 0.010170 0.002966 0.006430 
 0.003743 0.009896 0.003005 0.007523 
 0.003780 0.009240 0.003043 0.007622 
 0.003818 0.008912 0.003082 0.008387 
 0.003855 0.008311 0.003121 0.007698 
 0.003893 0.007676 0.003160 0.008311 
 0.003931 0.006999 0.003199 0.007884 
 0.003968 0.006791 0.003238 0.007327 
 0.004006 0.006167 0.003277 0.007370 
 0.004043 0.005643 0.003316 0.006802 
 0.004081 0.005347 0.003355 0.006550 
 0.004119 0.004790 0.003394 0.005916 
 0.004156 0.004451 0.003433 0.005719 
 0.004194 0.004483 0.003472 0.005446 
 0.004231 0.003685 0.003511 0.004866 
 0.004269 0.003740 0.003550 0.004669 
 0.004306 0.002898 0.003589 0.004637 
 0.004344 0.003368 0.003628 0.004068 
 0.004382 0.002985 0.003667 0.003795 
 0.004419 0.002734 0.003706 0.003456 
 0.004457 0.002614 0.003745 0.003849 
 0.004494 0.002624 0.003784 0.003554 
 0.004532 0.002285 0.003823 0.003007 
 0.004570 0.002373 0.003862 0.003226 
 0.004607 0.002275 0.003901 0.002657 
 0.004645 0.002045 0.003940 0.002417 
 0.004682 0.002176 0.003979 0.002373 
 0.004720 0.002165 0.004018 0.002067 
 0.004758 0.002143 0.004057 0.001870 
 0.004795 0.001881 0.004096 0.001793 
 0.004833 0.001739 0.004135 0.001859 
 0.004870 0.001925 0.004174 0.001684 
 0.004908 0.001925 0.004213 0.001673 
 0.004946 0.001782 0.004252 0.001618 
 0.004983 0.001597 0.004291 0.001509 
 0.005021 0.001673 0.004330 0.001400 
 0.005058 0.001640 0.004369 0.001192 
 0.005096 0.001629 0.004408 0.001115 
 0.005133 0.001301 0.004447 0.001378 
 0.005171 0.001433 0.004486 0.001236 
 0.005209 0.001203 0.004525 0.001312 
 0.005246 0.001279 0.004564 0.001181 
 0.005284 0.001159 0.004603 0.000962 
 0.005321 0.001126 0.004642 0.001225 
 0.005359 0.000962 0.004681 0.001148 
 0.005397 0.001159 0.004720 0.001181 
 0.005434 0.000776 0.004759 0.001039 
 0.005472 0.000733 0.004798 0.000951 
 0.005509 0.000711 0.004837 0.000831 
 0.005547 0.000733 0.004876 0.000875 
 0.005585 0.000798 0.004915 0.000940 
 0.005622 0.000580 0.004954 0.000842 
 0.005660 0.000536 0.004993 0.000875 
 0.005697 0.000405 0.005032 0.000929 
 0.005735 0.000350 0.005071 0.000733 
 0.005772 0.000350 0.005110 0.000755 
 0.005810 0.000394 0.005149 0.000853 
 0.005848 0.000383 0.005188 0.000776 
 0.005885 0.000306 0.005227 0.000755 
 0.005923 0.000383 0.005266 0.000711 
 0.005960 0.000361 0.005305 0.000634 
 0.005998 0.000372 0.005344 0.000678 
 0.006036 0.000361 0.005383 0.000656 
 0.006073 0.000372 0.005422 0.000634 
 0.006111 0.000306 0.005461 0.000733 
 0.006148 0.000295 0.005500 0.000590 
 0.006186 0.000350 0.005539 0.000558 
 0.006224 0.000372 0.005578 0.000437 
 0.006261 0.000284 0.005617 0.000536 
 0.006299 0.000328 0.005656 0.000634 
 0.006336 0.000503 0.005695 0.000558 
 0.006374 0.000383 0.005734 0.000569 
 0.006411 0.000273 0.005773 0.000470 
 0.006449 0.000306 0.005812 0.000547 
 0.006487 0.000350 0.005851 0.000656 
 0.006524 0.000394 0.005890 0.000700 
